Year,area,Live_anim,item,feedtype,ft,Intake_DM,Intake,Supply,Loss,Loss_share
2013,Malta,Sheep,DDGS Barley,crops,crops,10.5864907066498,11.5195763946135,12.7995293273483,1.27995293273483,0.1
1994,Kuwait,"Chickens, broilers",Fodder vegetables and roots,residues,residues,652.155664982484,6521.55664982484,7246.17405536093,724.617405536093,0.1
1979,Greece,Goats,Brans,residues,residues,26.8401529451838,30.2424258537282,33.6026953930314,3.36026953930313,0.0999999999999999
1998,Bulgaria,Goats,Temporary grassland,grass,grass,21929.4868997613,109647.434498807,121830.482776452,12183.0482776452,0.1
1990,Brazil,"Cattle, dairy",Other crop residues,residues,residues,20203430.4531551,22456573.3084347,36414278.88465,13957705.5762153,0.383303088890742
2006,United States of America,Sheep,Straw,residues,residues_grazers,96182.1656152333,109859.698018542,227135.954825825,117276.256807283,0.516326254455021
2000,Italy,Ducks,"Roots, Other",crops,crops,0.176686269882048,0.588300565644999,0.653667295161109,0.0653667295161108,0.0999999999999997
2010,Costa Rica,"Chickens, layers",Bananas,crops,crops,5132.35823054742,20611.8804439655,22902.0893821839,2290.20893821839,0.1
1997,Estonia,Turkeys,Sorghum and products,crops,crops,0.0477017990284285,0.0551465884721716,0.0612739871913018,0.00612739871913018,0.1
2011,Malawi,"Cattle, non-dairy",Grassland,grass,grass,595337.978666863,2976689.89333432,2976689.89333432,0,0
2013,Ivory Coast,Sheep,Other crop residues,residues,residues,30534.9788948168,33940.3248182477,94321.8432681157,60381.518449868,0.640164741885184
2007,Bulgaria,Goats,"Oilcrops, Other",crops,crops,38.3259868387193,41.6624551195426,46.2916167994918,4.62916167994919,0.1
2005,"China, mainland",Ducks,Beans,crops,crops,21807.0208934448,22184.1514684077,24649.0571871197,2464.90571871197,0.1
2020,Chile,Turkeys,Coconuts - Incl Copra,crops,crops,6.32779401216833,31.6389700608416,35.1544111787129,3.51544111787129,0.1
