polity_name,polity_code
Wake Island,WAK-1898-1982
Wallis and Futuna,WLF-1842-2025
Western Africa,F5105-1800-2025
Western Asia,F5305-1800-2025
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",F5828-1800-2025
Western Asia and Northern Africa,F5308-1800-2025
Western Australia,WES-1838-1900
Western Europe,F5404-1800-2025
Western Sahara,ESH-1800-2025
World,X01-1800-2025
Yemen,YEM-1990-2025
Yugoslavia,F248-1800-1992
Yugoslavia (1918-1919),YUG-1918-1919
Yugoslavia (1919-1920),YUG-1919-1920
Yugoslavia (1920-1991),YUG-1920-1991
Yugoslavia (1991-1992),YUG-1991-1992
Yugoslavia (1992-2006),YUG-1992-2006
Yunnan,YUN-1856-1871
Zambia,ZMB-1800-2025
Zanzibar,ZAN-1800-2025
Zanzibar (1963-1964),ZAN-1963-1964
Zimbabwe,ZWE-1890-2025
Åland Islands,ALA-2003-2025
